#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
281.6974916,89667.72061096286,43171.30278891446,-1.3145838,-0.1942346,7.8600872,-0.2895983
282.6964188,89668.50732364386,43171.34928034779,-1.5260562,-0.1905834,7.823196,0.0489516
283.6953461,89669.34293514064,43171.29539066584,-1.6516816,-0.061285,7.829444,4.0737177
284.6942734,89670.37846855383,43170.96545508684,-1.7128852,-0.1142469,8.333,-0.2949633
285.6932007,89671.53482423324,43170.49528906848,-1.8608959,-0.174293,8.2975656,-0.3227325
286.6921279,89672.68882953748,43169.918062626224,-2.0465994,-0.1536456,8.2586211,0.6176958
287.6910552,89674.1953065,43169.1008585,-2.1664828,-0.10134,8.333,0.0
288.6899825,89675.0174478,43168.4834837,-2.260824,-0.08664,8.333,0.0
289.6889098,89675.7675137,43167.806072,-2.3517174,-0.0979851,8.333,0.0
290.687837,89676.4678844,43167.0334237,-2.459023,-0.1011927,8.333,0.0
291.6867643,89677.0539102,43166.2393767,-2.5482797,-0.0751899,8.333,0.0
292.6856916,89677.5692662,43165.4241694,-2.600252,-0.0309845,8.333,0.0
293.6846189,89678.0509592,43164.5929316,-2.635599,-0.0462611,8.333,0.0
294.6835461,89678.5093974,43163.7129759,-2.6895083,-0.0613726,8.333,0.0
295.6824734,89678.9306515,43162.7655615,-2.7584949,-0.0705532,8.333,0.0
296.6814007,89679.2742465,43161.8192489,-2.8274283,-0.0672858,8.333,0.0
297.680328,89679.5542831,43160.8429103,-2.8982327,-0.0739741,8.333,0.0
298.6792552,89679.7552464,43159.8717171,-2.9801611,-0.0941198,8.333,0.0
299.6781825,89679.8681777,43158.8386204,-3.085521,-0.0984446,8.333,0.0
300.6771098,89679.8774894,43157.8282153,3.1074788,-0.0774641,8.333,0.0
301.6760371,89679.8156063,43156.8886672,3.0496203,-0.0426385,8.333,0.0
302.6749643,89679.6993821,43155.9063943,2.9896277,-0.0864325,8.333,0.0
303.6738916,89679.5023211,43154.9411664,2.885368,-0.1189332,8.333,0.0
304.6728189,89679.1982793,43154.0080914,2.768742,-0.11488,8.333,0.0
305.6717462,89678.7912149,43153.1171892,2.6573446,-0.1142978,8.333,0.0
306.6706734,89678.2585356,43152.2370091,2.5359074,-0.1228345,8.333,0.0
307.6696007,89677.6339023,43151.4464566,2.410561,-0.1205297,8.333,0.0
308.668528,89676.9261104,43150.7449838,2.2938436,-0.1145969,8.333,0.0
309.6674553,89676.1345183,43150.1234674,2.1790242,-0.1143645,8.333,0.0
310.6663825,89675.2638284,43149.5896052,2.0644923,-0.1046496,8.333,0.0
311.6653098,89674.3439568,43149.1532931,1.9650473,-0.0919145,8.333,0.0
312.6642371,89673.4210193,43148.8162273,1.8776091,-0.0874226,8.333,0.0
313.6631644,89672.443076,43148.5526111,1.7935434,-0.0703813,8.333,0.0
314.6620916,89671.460386,43148.3589213,1.7453992,-0.0217504,8.333,0.0
315.6610189,89670.5175484,43148.1932302,1.7542639,0.0370374,8.333,0.0
